"","Customer","Freq","Monetary","total_num_products","recency","samples_received","Customer Gender","Country","no_disc","0_25","25_abv","retail","third_party","corp","website","fragrance","skincare","bathbody","home","haircare","makeup","oral","beauty_acc","fashion_acc"
"48",1001520,1,102.06,4,812,1,"F","SG","No","Yes","No","Yes","No","No","No","No","No","No","No","No","No","No","Yes","No"
"49",1001541,1,358.88,3,536,1,"Unknown","SG","Yes","No","No","No","No","No","Yes","No","No","No","Yes","No","No","No","No","No"
"50",1001542,1,248.6,1,660,2,"F","SG","No","No","No","Yes","No","No","No","Yes","No","No","No","No","No","No","No","No"
"51",1001585,1,69.17,1,153,1,"F","SG","No","No","No","Yes","No","No","No","No","No","Yes","No","No","No","No","No","No"
"52",1001595,9,2726.21,23,409,4,"F","SG","Yes","No","No","Yes","No","No","No","Yes","Yes","No","Yes","No","No","No","No","No"
"53",1001614,1,161.68,1,514,1,"F","SG","No","No","No","Yes","No","No","No","Yes","No","No","No","No","No","No","No","No"
"54",1001619,1,102.8,2,811,0,"F","SG","Yes","No","No","Yes","No","No","No","No","No","Yes","No","No","No","No","No","No"
"55",1001625,6,2312.94,22,198,1,"F","SG","Yes","No","No","Yes","No","No","No","Yes","Yes","Yes","Yes","No","No","Yes","No","Yes"
"56",1001626,1,250,1,326,0,"F","SG","No","No","No","Yes","No","No","No","No","Yes","No","No","No","No","No","No","No"
"57",1001652,1,418.7,2,320,1,"F","SG","Yes","No","No","Yes","No","No","No","Yes","No","No","No","No","No","No","No","No"
"58",1001737,1,166.67,2,374,1,"F","SG","Yes","No","No","Yes","No","No","No","No","No","No","Yes","No","No","No","No","No"
"59",1001738,1,285.98,4,599,0,"F","SG","Yes","No","No","Yes","No","No","No","No","No","No","No","No","Yes","No","No","No"
"60",1001743,1,212.15,2,510,1,"F","SG","Yes","No","No","Yes","No","No","No","Yes","No","No","No","No","Yes","No","No","No"
"61",1001750,1,475.7,3,699,0,"F","SG","Yes","No","No","Yes","No","No","No","Yes","No","Yes","No","Yes","No","No","No","No"
"62",1001762,8,1613.69,14,140,0,"F","SG","Yes","No","No","Yes","No","No","No","Yes","Yes","Yes","Yes","No","No","No","Yes","No"
"63",1001784,2,642.99,2,521,1,"F","SG","Yes","No","No","Yes","No","No","No","Yes","No","No","No","No","No","No","No","No"
"64",1001854,1,91.59,2,808,0,"F","SG","Yes","No","No","No","No","No","Yes","No","Yes","No","No","No","No","No","Yes","No"
"65",1001865,15,6524.03,76,143,4,"F","SG","Yes","No","No","Yes","No","No","No","Yes","Yes","Yes","Yes","Yes","No","No","No","No"
"66",1001867,1,485.98,1,714,0,"F","SG","No","No","No","Yes","No","No","No","Yes","No","No","No","No","No","No","No","No"
"67",1001870,4,2182.98,15,470,2,"F","SG","Yes","No","No","Yes","No","No","No","Yes","Yes","No","Yes","No","No","No","No","No"
"68",1001904,2,1362.38,8,651,1,"F","SG","Yes","No","No","Yes","No","No","No","Yes","No","Yes","No","No","No","No","No","No"
"69",1001920,1,223.55,5,712,1,"F","SG","Yes","No","No","Yes","No","No","No","No","Yes","No","Yes","No","No","No","No","No"
"70",1001930,1,252.34,2,528,0,"F","SG","Yes","No","No","Yes","No","No","No","No","No","No","Yes","No","No","No","No","No"
"71",1001996,9,1693.91,13,240,3,"F","SG","No","No","No","Yes","No","No","Yes","Yes","Yes","Yes","No","Yes","No","No","No","No"
"72",1002026,3,298.98,6,227,0,"F","SG","Yes","No","No","Yes","No","No","No","Yes","Yes","Yes","Yes","No","No","No","No","No"
"73",1002053,2,305.05,8,632,1,"F","SG","No","No","No","No","No","No","Yes","No","No","Yes","Yes","No","No","No","No","No"
"74",1002060,1,113.89,1,143,0,"F","SG","No","No","No","Yes","No","No","No","No","No","Yes","No","No","No","No","No","No"
"75",1002074,1,545.61,4,781,0,"F","SG","Yes","No","No","Yes","No","No","No","Yes","No","No","No","No","No","No","No","No"
"76",1002151,1,1337.38,5,816,0,"F","SG","Yes","No","No","Yes","No","No","No","Yes","No","No","Yes","No","No","No","No","No"
"77",1002154,1,84.11,1,778,0,"F","SG","No","No","No","Yes","No","No","No","No","No","No","No","Yes","No","No","No","No"
"78",1002189,25,9002.17,124,224,5,"F","SG","No","No","No","Yes","No","No","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No"
